Topic to send: test-topic
Topic to acks: -1
Records: 500000
Size: 500
Batch Size: 500

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1618410570737
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126.000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 576.000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 576.000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0.000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0.000
producer-metrics:connection-close-total:{client-id=producer-1}                     : 3.000
producer-metrics:connection-count:{client-id=producer-1}                           : 3.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0.000
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 6.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0.000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 50889.129
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 31002928.000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0.062
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 25221.385
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 0.869
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 353696.384
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 559128058213.000
producer-metrics:iotime-total:{client-id=producer-1}                               : 37352794545.000
producer-metrics:metadata-age:{client-id=producer-1}                               : 97.422
producer-metrics:network-io-rate:{client-id=producer-1}                            : 1641.539
producer-metrics:network-io-total:{client-id=producer-1}                           : 1000022.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 530312.564
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 322890503.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0.000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0.028
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 1.000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 2.000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 820.798
producer-metrics:record-send-total:{client-id=producer-1}                          : 500002.000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 592.000
producer-metrics:record-size-max:{client-id=producer-1}                            : 592.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1.000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : 1.147
producer-metrics:request-latency-max:{client-id=producer-1}                        : 53.000
producer-metrics:request-rate:{client-id=producer-1}                               : 820.774
producer-metrics:request-size-avg:{client-id=producer-1}                           : 646.000
producer-metrics:request-size-max:{client-id=producer-1}                           : 646.000
producer-metrics:request-total:{client-id=producer-1}                              : 500012.000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 0.000
producer-metrics:response-rate:{client-id=producer-1}                              : 820.792
producer-metrics:response-total:{client-id=producer-1}                             : 500010.000
producer-metrics:select-rate:{client-id=producer-1}                                : 2458.107
producer-metrics:select-total:{client-id=producer-1}                               : 1496233.000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0.000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0.000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0.000
producer-metrics:waiting-threads:{client-id=producer-1}                            : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node--2}   : 0.000
producer-node-metrics:incoming-byte-rate:{client-id=producer-1, node-id=node-1}    : 16809.942
