Topic to send: test-topic
Topic to acks: -2
Records: 500000
Size: 500
Batch Size: 500

Metric Name                                                                          Value
app-info:commit-id:{client-id=producer-1}                                          : d12590634290dbc4
app-info:start-time-ms:{client-id=producer-1}                                      : 1612390113512
app-info:version:{client-id=producer-1}                                            : 2.3.1
kafka-metrics-count:count:{client-id=producer-1}                                   : 126.000
producer-metrics:batch-size-avg:{client-id=producer-1}                             : 576.000
producer-metrics:batch-size-max:{client-id=producer-1}                             : 576.000
producer-metrics:batch-split-rate:{client-id=producer-1}                           : 0.000
producer-metrics:batch-split-total:{client-id=producer-1}                          : 0.000
producer-metrics:buffer-available-bytes:{client-id=producer-1}                     : 33554432.000
producer-metrics:buffer-exhausted-rate:{client-id=producer-1}                      : 0.000
producer-metrics:buffer-exhausted-total:{client-id=producer-1}                     : 0.000
producer-metrics:buffer-total-bytes:{client-id=producer-1}                         : 33554432.000
producer-metrics:bufferpool-wait-ratio:{client-id=producer-1}                      : 0.000
producer-metrics:bufferpool-wait-time-total:{client-id=producer-1}                 : 0.000
producer-metrics:compression-rate-avg:{client-id=producer-1}                       : 1.000
producer-metrics:connection-close-rate:{client-id=producer-1}                      : 0.026
producer-metrics:connection-close-total:{client-id=producer-1}                     : 10.000
producer-metrics:connection-count:{client-id=producer-1}                           : 3.000
producer-metrics:connection-creation-rate:{client-id=producer-1}                   : 0.027
producer-metrics:connection-creation-total:{client-id=producer-1}                  : 13.000
producer-metrics:failed-authentication-rate:{client-id=producer-1}                 : 0.000
producer-metrics:failed-authentication-total:{client-id=producer-1}                : 0.000
producer-metrics:failed-reauthentication-rate:{client-id=producer-1}               : 0.000
producer-metrics:failed-reauthentication-total:{client-id=producer-1}              : 0.000
producer-metrics:incoming-byte-rate:{client-id=producer-1}                         : 7.849
producer-metrics:incoming-byte-total:{client-id=producer-1}                        : 8187.000
producer-metrics:io-ratio:{client-id=producer-1}                                   : 0.003
producer-metrics:io-time-ns-avg:{client-id=producer-1}                             : 6722.158
producer-metrics:io-wait-ratio:{client-id=producer-1}                              : 1.051
producer-metrics:io-wait-time-ns-avg:{client-id=producer-1}                        : 2692034.884
producer-metrics:io-waittime-total:{client-id=producer-1}                          : 2708640065834.000
producer-metrics:iotime-total:{client-id=producer-1}                               : 7483802728.000
producer-metrics:metadata-age:{client-id=producer-1}                               : 102.468
producer-metrics:network-io-rate:{client-id=producer-1}                            : 194.476
producer-metrics:network-io-total:{client-id=producer-1}                           : 500057.000
producer-metrics:outgoing-byte-rate:{client-id=producer-1}                         : 127554.221
producer-metrics:outgoing-byte-total:{client-id=producer-1}                        : 327889895.000
producer-metrics:produce-throttle-time-avg:{client-id=producer-1}                  : 0.000
producer-metrics:produce-throttle-time-max:{client-id=producer-1}                  : 0.000
producer-metrics:reauthentication-latency-avg:{client-id=producer-1}               : NaN
producer-metrics:reauthentication-latency-max:{client-id=producer-1}               : NaN
producer-metrics:record-error-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-error-total:{client-id=producer-1}                         : 0.000
producer-metrics:record-queue-time-avg:{client-id=producer-1}                      : 0.027
producer-metrics:record-queue-time-max:{client-id=producer-1}                      : 74.000
producer-metrics:record-retry-rate:{client-id=producer-1}                          : 0.000
producer-metrics:record-retry-total:{client-id=producer-1}                         : 6.000
producer-metrics:record-send-rate:{client-id=producer-1}                           : 194.397
producer-metrics:record-send-total:{client-id=producer-1}                          : 500006.000
producer-metrics:record-size-avg:{client-id=producer-1}                            : 592.000
producer-metrics:record-size-max:{client-id=producer-1}                            : 592.000
producer-metrics:records-per-request-avg:{client-id=producer-1}                    : 1.000
producer-metrics:request-latency-avg:{client-id=producer-1}                        : NaN
producer-metrics:request-latency-max:{client-id=producer-1}                        : NaN
producer-metrics:request-rate:{client-id=producer-1}                               : 194.459
producer-metrics:request-size-avg:{client-id=producer-1}                           : 655.859
producer-metrics:request-size-max:{client-id=producer-1}                           : 656.000
producer-metrics:request-total:{client-id=producer-1}                              : 500029.000
producer-metrics:requests-in-flight:{client-id=producer-1}                         : 1.000
producer-metrics:response-rate:{client-id=producer-1}                              : 0.027
producer-metrics:response-total:{client-id=producer-1}                             : 28.000
producer-metrics:select-rate:{client-id=producer-1}                                : 390.314
producer-metrics:select-total:{client-id=producer-1}                               : 1005848.000
producer-metrics:successful-authentication-no-reauth-total:{client-id=producer-1}  : 0.000
producer-metrics:successful-authentication-rate:{client-id=producer-1}             : 0.000
producer-metrics:successful-authentication-total:{client-id=producer-1}            : 0.000
producer-metrics:successful-reauthentication-rate:{client-id=producer-1}           : 0.000
producer-metrics:successful-reauthentication-total:{client-id=producer-1}          : 0.000
